id;code;name;description;full_description;longitude;latitude
1;bargain victoriously;axis;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;now ajar though;artificer what
2;sabotage packaging;boldly hunger gall-bladder;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;about;whether
3;moisturize whoa;for;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;cranky;specific who
4;squash;fillet blissfully;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;brilliant broadly;duh reword equally
5;abaft;oh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;flip-flops;stash aha very
6;hm senate consequently;since;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;reassuringly service;quietly
7;dearly tell blah;hmph exclude;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;harmless;slimy and
8;or;source ugh furthermore;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;on;with if
9;minus stinger;cleverly ha healthily;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;buckwheat sack of;smooch delight
10;um ouch while;inexperienced opposite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;upward;accommodation
