id;code;title;duration;pet_friendly;kids_allowed;available_from_date;available_to_date;enabled
1;who;failing during into;6882;true;false;2024-03-13;2024-03-13;true
2;puzzle mismatch;fitting failing;12094;true;true;2024-03-14;2024-03-13;true
3;fester;polite;24040;true;false;2024-03-14;2024-03-14;false
4;during ha below;commonly slipper uncover;9038;true;true;2024-03-13;2024-03-13;false
5;recrudesce but pish;instead overconfidently loudly;879;false;false;2024-03-13;2024-03-13;true
6;export canalize;solemnly famously;1182;false;false;2024-03-14;2024-03-14;false
7;ingratiate vivacious;when spanish stealthily;31308;false;false;2024-03-13;2024-03-13;true
8;outside foodstuffs author;rotten final;25078;true;true;2024-03-14;2024-03-14;true
9;um;gently unless;31124;true;true;2024-03-13;2024-03-13;true
10;dollar aside ginger;punctually cuckoo;26971;true;false;2024-03-13;2024-03-13;false
